Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Machine Learning Engineer,$75K-$131K,4.5,Systems ,"Woburn, MA",201 - 500 ,Company - Private,Aerospace & Defense,$100 to $500 million 
Data Scientist,$79K-$131K,3.5,iRobot,"Bedford, MA",1001 - 5000 ,Company - Public,Consumer Electronics & Appliances Stores,$1 to $2 billion 
Data Scientist,$79K-$131K,4.2,HG Insights,"Santa Barbara, CA",51 - 200 ,Company - Private,Computer Hardware & Software,Unknown 
Global Data Analyst,$79K-$131K,3.8,Dermalogica,"Carson, CA",201 - 500 ,Subsidiary or Business Segment,Consumer Products Manufacturing,$100 to $500 million 
Data Engineer,$79K-$131K,3.7,Bayview Asset Management,"Coral Gables, FL",1001 - 5000 ,Company - Private,Investment Banking & Asset Management,$100 to $500 million 
Data Scientist,$79K-$131K,3.7,Via Transportation,"New York, NY",501 - 1000 ,Company - Private,Internet,Unknown 
Data Scientist,$79K-$131K,4.0,Grid Dynamics,"Santa Clara, CA",1001 - 5000 ,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million 
Data & Machine Learning Scientist,$79K-$131K,3.3,Tempus Labs,"Chicago, IL",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist - Machine Learning,$79K-$131K,2.5,CareDx,"Brisbane, CA",1 - 50 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Engineer (Remote),$79K-$131K,4.2,IZEA,"Winter Park, FL",51 - 200 ,Company - Public,Advertising & Marketing,$25 to $50 million 
"Data Scientist, Applied Machine Learning - Bay Area",$79K-$131K,3.3,Tempus Labs,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Principal Data Scientist,$79K-$131K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Business Data Analyst,$79K-$131K,3.7,Caterpillar,"Peoria, IL",10000+ ,Company - Public,Industrial Manufacturing,$10+ billion 
Purification Scientist,$79K-$131K,4.9,New England Biolabs,"Ipswich, MA",201 - 500 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Analyst,$79K-$131K,3.4,Allied Solutions,"Carmel, IN",1001 - 5000 ,Subsidiary or Business Segment,Insurance Agencies & Brokerages,$100 to $500 million 
"Data Engineer, Enterprise Analytics",$79K-$131K,3.1,Healthfirst,"New York, NY",1001 - 5000 ,Nonprofit Organization,Insurance Carriers,Unknown 
Data Scientist,$79K-$131K,3.5,The Knot Worldwide,"Washington, DC",1001 - 5000 ,Company - Private,Internet,Unknown 
Data Scientist,$79K-$131K,2.9,IFG Companies,"New York, NY",201 - 500 ,Company - Private,Insurance Carriers,Unknown 
Data Scientist 3 (718),$79K-$131K,3.3,Amyris,"Emeryville, CA",201 - 500 ,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million 
"Real World Science, Data Scientist",$79K-$131K,4.0,AstraZeneca,"Gaithersburg, MD",10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,$79K-$131K,3.6,Powertek,"Washington, DC",51 - 200 ,Company - Private,IT Services,$25 to $50 million 
Data Engineer,$79K-$131K,4.7,Object Partners,"Saint Louis, MO",51 - 200 ,Company - Private,Consulting,$25 to $50 million 
Data Scientist - Image and Video Analytics,$79K-$131K,4.9,The Mom Project,"Longmont, CO",1 - 50 ,Company - Private,Staffing & Outsourcing,Unknown 
